Query,TextSample,position,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
Qual Ã¨ la causa della riduzione del lago Aral,"Il disastro ecologico del Lago d'Aral: una storia .... Lago d’Aral: le prospettive di recupero. Purtroppo, senza interventi la totale scomparsa del lago d’Aral sarebbe ormai inevitabile. Le poche opere di bonifica sono iniziate solo nel 2000, con la messa in sicurezza della base militare sovietica che sorgeva su una delle isole.",6,14.06,15.34,70.6,11.11,10.43,12.92,10.36,13.59,13.12,14.45,14.04
Qual Ã¨ la causa della riduzione del lago Aral,"Geografia - il disastro ecologico del Lago d' Aral. Appunti di Geografia per l'esame del professor Guido Locarno. Gli argomenti trattati sono i seguenti: il disastro geologico del lago d'Aral, la storia dell'area nell'antichità, il disastro e",7,12.54,15.57,71.9,11.97,11.47,12.73,10.78,13.19,11.98,14.09,13.8
Qual Ã¨ la causa della riduzione del lago Aral,"C'era una volta il Lago d'Aral - MeteoGiornale.it. Il Lago d'Aral nelle foto del 19 agosto 2014. La riduzione della superficie del lago era stata pianificata dal regime sovietico, che pensava che le acque che vi affluivano fosse meglio utilizzarle ...",8,16.18,14.73,69.09,12.31,11.79,13.64,9.41,13.17,12.85,13.34,13.49
Qual Ã¨ la causa della riduzione del lago Aral,"La grandezza perduta del Lago d'Aral - MSOI thePost. Alla frontiera tra Uzbekistan e Kazakistan, il lago d’Aral è stato al centro di uno dei più grandi disastri ambientali degli ultimi decenni. Un tempo grande oasi dell’Asia centrale sfruttata dai pescatori locali, dai primi anni Sessanta ha visto diminuire sempre più la propria estensione a causa di massicci interventi dell’allora Governo sovietico.",9,18.91,15.26,65.83,12.31,11.47,11.94,10.04,13.67,13.18,14.27,13.12
Qual Ã¨ la causa della riduzione del lago Aral,"Il Lago d'Aral è quasi scomparso - Focus.it. Dal 1960 a oggi la sua superfcie si è ridotta del 75%, e dei 68.000 km quadrati originali oggi ne restano poco più del 10%. Il restante 90% è sabbia, tutto il resto dell'acqua si è prosciugato. Tanto che . Ogni anno, ad agosto, il satellite Terra della Nasa punta i suoi strumenti sul lago d'Aral per documentare il ritiro delle acque. Qui ...",10,16.06,16.65,67.29,12.33,12.13,13.8,8.98,13.19,12.08,13.88,13.6
Quale nome si usa per definire una persona che ha a cuore l,"Quale aggettivo si usa per dire che una persona è ""diretta .... Quale aggettivo si usa per dire che una persona è ""diretta""? o meglio.... qual è il sostantivo? è sincero chi ha sincerità.... e qual è il sostantivo per definire chi è diretto????? help me. Segui . 11 risposte 11. Segnala abuso. ... Quale aggettivo descrive meglio la vostra persona del cuore?? Altre domande.",1,20.05,15.79,64.16,12.29,12.54,11.16,13.29,12.44,12.08,13.74,12.46
Quale nome si usa per definire una persona che ha a cuore l,"mi potete dire tutti gli aggettivi esistenti per definire .... Migliore risposta: Non credo che si possa elencare tutti ma proprio tutti gli aggettivi esistenti, comunque te ne posso dire un po'. Gentile, cortese, attraente ...",2,24.69,21.46,53.85,12.81,10.32,12.09,12.28,12.47,12.51,15.2,12.32
Quale nome si usa per definire una persona che ha a cuore l,"AGGETTIVI in ""La grammatica italiana"" - treccani.it. L’aggettivo è una parte variabile del discorso che esprime gli attributi di qualità, quantità ecc. della persona o della cosa indicata dal sostantivo a cui si riferisce. Gli aggettivi si distinguono comunemente in qualificativi e determinativi (o indicativi). • Gli aggettivi qualificativi indicano una qualità del nome Ho comprato una bella maglia Mario è un bambino molto buono Di ...",3,19.82,13.03,67.15,12.24,12.65,11.79,11.36,11.94,11.74,15.24,13.05
Quale nome si usa per definire una persona che ha a cuore l,"E' corretto definire ""Negro"" una persona appartenente alla .... E' corretto definire ""Negro"" una persona appartenente alla etnica africana? ... film dicono BLACK Io credo... show more Negli STATI UNITI per esempio dire Negro e' molto scorretto (in inglese NIGER) si usa comunemente la parola nero ... yak per la simpatia HO DECISO CHE LI CHIAMERO PER NOME ANCHE SE IN CUORE SO CHE NEGRO NON E' UN OFFESA E CHE ...",4,17.54,15.01,67.46,12.89,13.57,12.23,11.58,12.75,11.85,13.83,11.29
Quale nome si usa per definire una persona che ha a cuore l,"Eredità e Testamento - Il portale giuridico online per i .... Per questi motivi e per tale senso, si usa dire anche che non esiste la ... neppure il patto con il quale una persona disponga dei diritti che ... 1 della legge 589/94 ha sancito che “per i ...",5,12.71,14.25,73.05,11.41,11.81,12.14,12.27,12.16,11.33,15.74,13.15
Quale nome si usa per definire una persona che ha a cuore l,"Quiz [1] Quale delle seguenti frasi contiene un verbo .... b) Ho visto un film che mi ha commosso c) Il ragazzo che abbiamo incontrato ieri è il figlio di Carla d) Tutte le case che hanno le finestre rosse sono del villaggio Quiz [17] Delle frasi che seguono, solo una contiene una proposizione che non è una modale. Quale? a) Incontrò Marta andando a scuola b) Parlava ansimando",6,17.42,17.85,64.73,12.83,13.42,12.65,10.34,12.23,12.01,13.42,13.1
Quale nome si usa per definire una persona che ha a cuore l,"L'aggettivo - sintesi di tutti gli aggettivi. L'aggettivo e una parola variabile che si aggiunge al nome per determinarlo... Aggettivi qualificativi, aggettivi possessivi, aggettivi dimostrativi, aggettivi identificativi, aggettivi indefiniti, aggettivi numerali, aggettivi interrogativi ed esclamativi.",7,20.17,12.88,66.95,12.63,11.97,11.55,12.23,11.91,11.86,13.74,14.11
Quale nome si usa per definire una persona che ha a cuore l,"Glossario delle frasi fatte - Wikipedia. Mutuato dal film Fantozzi, con Paolo Villaggio, del 1975, è una delle allucinazioni che colpiscono il protagonista nel salire verso l'ufficio del Megadirettore. Si usa per indicare una lapidazione pubblica ingiusta per aver espresso un'opinione, o anche per indicare una punizione arbitraria e sproporzionata.",8,16.42,11.98,71.61,11.75,12.36,11.91,11.29,12.35,12.29,14.4,13.65
Quale nome si usa per definire una persona che ha a cuore l,"Le peggiori tattiche manipolatorie che i narcisisti ed i .... comprendo la tua sensazione… è quella che ho provato e provo ancora tutt’oggi. Ero una persona forte, solare, positiva, che si era creata una buona autostima e lui l’ha distrutta, calpestata e mi manco ogni giorno… Ho pensato anche leggendo questo articolo di essere io, perchè dopo mesi di lotta sono esplosa e l’ho insultato.",9,17.38,19.28,63.34,12.9,12.15,11.44,11.34,13.68,12.8,13.68,12.01
Quale nome si usa per definire una persona che ha a cuore l,"Parlare di disabilità: quali sono le parole corrette da usare. (termine vecchio e offensivo) non sei una bella persona. Per riassumere, vi inserisco una tabella ben fatta tratta dal portale ""webacessibile.org"". Grazie per aver letto fino qui e speriamo che il ...",10,21.84,18.27,59.88,11.29,13.07,10.16,12.41,13.37,12.45,14.92,12.33
Cosa Ã¨  Ocean  Cleanup,"The Ocean Cleanup - Wikipedia The Ocean Cleanup - Wikipedia The Ocean Cleanup - Wikipedia. The Ocean Cleanup is a non-government engineering environmental organization based in the Netherlands, that develops technology to extract plastic pollution from the oceans. After a couple of years of various tests they deployed their first full scale prototype. It ran into difficulty after two months and was towed to Hawaii for inspection and repair. The Ocean Cleanup is a non-government engineering environmental organization based in the Netherlands, that develops technology to extract plastic pollution from the oceans. After a couple of years of various tests they deployed their first full scale prototype. It ran into difficulty after two months and was towed to Hawaii for inspection and repair. The Ocean Cleanup is a non-government engineering environmental organization based in the Netherlands, that develops technology to extract plastic pollution from the oceans. After a couple of years of various tests they deployed their first full scale prototype. It ran into difficulty after two months and was towed to Hawaii for inspection and repair.",1,9.53,11.64,78.83,13.77,12.41,20.86,8.77,10.13,10.15,10.66,13.24
Cosa Ã¨  Ocean  Cleanup,"The Ocean Cleanup - Wikipedia. The Ocean Cleanup is a non-government engineering environmental organization based in the Netherlands, that develops technology to extract plastic pollution from the oceans. After a couple of years of various tests they deployed their first full scale prototype. It ran into difficulty after two months and was towed to Hawaii for inspection and repair.",2,9.32,11.41,79.27,13.72,12.41,21.05,8.9,10.12,10.02,10.43,13.35
Cosa Ã¨  Ocean  Cleanup,"The Ocean Cleanup funziona: la macchina sta raccogliendo ... The Ocean Cleanup funziona: la macchina sta raccogliendo .... The Ocean Cleanup, il progetto lanciato da un giovane olandese ormai 7 anni fa, ha ottenuto i suoi primi risultati. Dopo una serie di tentativi il prototipo ""System 001/B"", barriera galleggiante ... The Ocean Cleanup, il progetto lanciato da un giovane olandese ormai 7 anni fa, ha ottenuto i suoi primi risultati. Dopo una serie di tentativi il prototipo ""System 001/B"", barriera galleggiante ...",3,14.98,16.64,68.38,12.16,13.72,11.88,10.18,12.85,11.1,15.95,12.16
Cosa Ã¨  Ocean  Cleanup,"The Ocean Cleanup Jobs, Employment | Indeed. 68 The Ocean Cleanup jobs available on Indeed.com. Apply to Warehouse Worker, Case Pick Fulltime, Crew Member and more!",4,13.44,14.37,72.19,13.37,12.49,15.38,9.57,11.27,10.87,14.05,13.0
Cosa Ã¨  Ocean  Cleanup,"FAQ | The Ocean Cleanup. The Ocean Cleanup focuses on the floating fraction of plastics. Since most of it is located between the surface and a depth of five meters, the cleanup system will be designed to clean up only the plastic which is located in this upper layer of the water column.",5,11.4,13.24,75.36,13.49,13.37,16.81,8.92,11.0,11.64,12.37,12.41
Cosa Ã¨  Ocean  Cleanup,"The Ocean Cleanup February 2019 Update - YouTube. This video is an update and review of The Ocean Cleanup for February, 2019. This video is an update and review of The Ocean Cleanup for February, 2019. Skip navigation Sign in. Search.",6,9.62,9.36,81.02,13.63,12.28,17.26,7.88,11.11,11.06,13.69,13.08
Cosa Ã¨  Ocean  Cleanup,"The Ocean Cleanup (@TheOceanCleanup) | Twitter. The latest Tweets from The Ocean Cleanup (@TheOceanCleanup). The Largest Cleanup in History. Follow the latest updates on The Ocean Cleanup project. #TheOceanCleanup. Rotterdam, The Netherlands",7,9.67,8.29,82.04,13.05,13.18,15.85,9.78,12.34,12.15,11.5,12.15
Cosa Ã¨  Ocean  Cleanup,"Boyan Slat's Ocean Cleanup to launch first array, new .... The Ocean Cleanup computer rendering, anchor close-up Erwin Zwart / The Ocean Cleanup Slat's team has only tested the new system in labs and simulations, so it's still theoretical. But the ...",8,10.24,11.64,78.12,13.84,12.32,15.27,9.78,11.92,11.34,12.38,13.16
Cosa Ã¨  Ocean  Cleanup,"A passive ocean cleanup begins - physicstoday.scitation.org. A passive plastic cleanup system is deployed in the Pacific Ocean in October. Credit: The Ocean Cleanup. An ambitious yet straightforward method of ridding the oceans of huge swaths of accumulated plastic began on 18 October with the deployment of a drifting U-shaped tube at the Great Pacific Garbage Patch, midway between Hawaii and California.The Ocean Cleanup aims to remove 50% of the patch ...",9,11.29,11.97,76.73,14.02,13.69,14.55,9.52,11.23,11.92,12.14,12.92
Cosa Ã¨  Ocean  Cleanup,"Boyan Slat's Ocean Cleanup Project Launches Historic First .... Boyan Slat's ambitious plan to rid the world's oceans of plastic has taken another step towards reality with its first prototype to be tested at sea. The Ocean Cleanup Foundation, founded by the 21-year-old Slat, has deployed a 100-meter clean-up boom today in the North Sea in The Netherlands.The p...",10,12.0,13.27,74.73,13.89,13.0,15.4,10.44,11.9,12.35,11.35,11.67
Dove si trova Äº isola di plastica,"L’ISOLA DI PLASTICA – Il Bullone L’ISOLA DI PLASTICA – Il Bullone. Immagine in evidenza di: www.lifegate.it. Tra il Nord America e l’Asia, si trova un’isola piuttosto particolare perché non è formata da rocce, pianure, boschi, ma solo e soltanto da rifiuti, plastica in particolare.Si tratta del “Pacific Trash Vortex” (PTV), la cui estensione è stata stimata tra i 700.000 e i 10 milioni di Km 2.Sebbene sia stata scoperta nel 1988, le misurazioni per ... Immagine in evidenza di: www.lifegate.it. Tra il Nord America e l’Asia, si trova un’isola piuttosto particolare perché non è formata da rocce, pianure, boschi, ma solo e soltanto da rifiuti, plastica in particolare.Si tratta del “Pacific Trash Vortex” (PTV), la cui estensione è stata stimata tra i 700.000 e i 10 milioni di Km 2.Sebbene sia stata scoperta nel 1988, le misurazioni per ...",1,16.83,17.08,66.09,12.35,12.14,13.08,10.54,12.43,12.47,14.5,12.5
Dove si trova Äº isola di plastica,"L’ISOLA DI PLASTICA – Il Bullone. Immagine in evidenza di: www.lifegate.it. Tra il Nord America e l’Asia, si trova un’isola piuttosto particolare perché non è formata da rocce, pianure, boschi, ma solo e soltanto da rifiuti, plastica in particolare.Si tratta del “Pacific Trash Vortex” (PTV), la cui estensione è stata stimata tra i 700.000 e i 10 milioni di Km 2.Sebbene sia stata scoperta nel 1988, le misurazioni per ...",2,16.83,17.08,66.09,12.35,12.14,13.08,10.54,12.43,12.47,14.5,12.5
Dove si trova Äº isola di plastica,UN'ISOLA DI PLASTICA NELL'OCEANO PACIFICO!! DA VEDERE .... Questo è il risultato di atteggiamenti sbagliati e di cattive abitudini della nostra società. ... UN'ISOLA DI PLASTICA NELL'OCEANO PACIFICO!! DA VEDERE!! ... La seconda isola di plastica del ...,3,11.96,13.8,74.24,12.69,13.31,13.07,9.78,12.66,10.98,14.66,12.86
Dove si trova Äº isola di plastica,Nell'Oceano Pacifico galleggia un'isola di plastica grande .... Nelle acque dell’Oceano Pacifico tra la California e le Hawaii galleggia una gigantesca isola di plastica. È grande tre volte la Francia ed è formata da oggetti risalenti anche agli anni ’70.,4,18.74,17.66,63.59,13.38,13.3,12.39,10.49,13.65,11.14,13.95,11.69
Dove si trova Äº isola di plastica,L'isola di plastica nel mezzo dell'oceano Pacifico. L'isola di plastica nel mezzo dell'oceano Pacifico L'isola di rifiuti continua ad aumentare e ora ha assunto le dimensioni di 3 volte la superficie della Francia. 30 marzo 2018.,5,17.29,19.13,63.58,12.26,12.94,13.54,8.9,13.38,11.92,14.0,13.06
Dove si trova Äº isola di plastica,"Anche l’Italia ha la sua isola di plastica: ecco dove si .... Anche l’Italia ha la sua isola di plastica: ecco dove si trova. Redazione 4 mesi fa. Gli oceani sono disseminati di isole di plastica, masse di rifiuti che aggregandosi in mare hanno formato dei veri e propri isolotti.",6,16.47,21.51,62.01,12.38,13.45,13.7,9.79,13.79,11.98,12.61,12.31
Dove si trova Äº isola di plastica,"Pacifico: l'isola di plastica è sempre più enorme. ""Una .... NON ci si può ancora piantare l’ombrellone, ma di questo passo ci arriveremo. La grande isola di plastica del Pacifico sta diventando sempre più grande. Le navi e gli aerei della fondazione ...",7,19.89,18.06,62.05,12.75,12.16,12.25,10.58,13.93,11.75,14.2,12.37
Dove si trova Äº isola di plastica,"Video Meteo: L'isola di plastica è grande 3 volte la .... L'isola di plastica è grande 3 volte la Francia Un'isola di rifiuti galleggia nel cuore delle acque del Pacifico settentrionale. I servizi andati in TV. Meteo del 24 settembre, 13:30. ... Come e dove si formano i cicloni tropicali. Giappone, eruzione vulcanica provoca valanga sulle piste da sci.",8,18.68,18.32,62.99,13.15,12.1,13.41,9.5,13.71,11.31,12.74,14.08
Dove si trova Äº isola di plastica,"L'isola di plastica - SapereScienza. L’Isola di Plastica, che non e’ presente solo nell’Oceano Pacifico ma anche in Atlantico e probabilmente in Mediterraneo, ... (ISMAR-CNR) di Bologna dove si occupa di geologia marina. I suoi interessi principali sono lo studio dei margini continentali e la geologia dei terremoti sottomarini. Ultimi da Alina Polonia.",9,14.52,17.7,67.78,12.07,11.56,11.6,10.96,13.27,11.04,14.99,14.51
Dove si trova Äº isola di plastica,"La prima mappa della spazzatura oceanica - National Geographic. Quando l'ecologo marino Andres Cozar Cabañas e il suo team di ricercatori hanno completato la prima mappa dei rifiuti negli oceani, c'era qualcosa che non quadrava. Il loro lavoro, pubblicato questo mese su Proceedings of the National Academy of Sciences, ha rilevato milioni di pezzi di plastica ...",10,12.42,15.38,72.2,11.32,11.37,11.33,10.57,13.43,11.77,15.33,14.89
QuaÄº Ã¨ la causa della riduzione del lago aral,"Il Lago d'Aral è quasi scomparso - Focus.it. Fino a qualche decennio fa in questa zona si estendeva il quarto lago del pianeta per superficie: il lago d'Aral, un lago salato di origine oceanica posto al confine tra l'Uzbekistan e il Kazakistan. Dal 1960 a oggi la sua superfcie si è ridotta del 75%, e dei 68.000 km quadrati originali oggi ne restano poco più del 10%.",1,14.1,13.11,72.79,12.22,12.37,13.82,9.43,13.68,12.12,13.45,12.92
QuaÄº Ã¨ la causa della riduzione del lago aral,"Lago D'Aral, uno dei più grandi disastri ecologici della .... Fino a 50 anni fa, il lago d’Aral era tra i laghi più grandi del mondo, con una superficie di 68.000 Km quadrati totali. Questa superficie si è ridotta del 75% dal 1960 ad oggi. Ogni anno, il satellite Terra della Nasa documenta il ritiro delle acque di questo lago. La maggior parte del lago quindi è prosciugato.",2,18.03,13.81,68.17,12.38,12.03,13.54,9.45,13.11,12.6,13.68,13.2
QuaÄº Ã¨ la causa della riduzione del lago aral,"Il Lago d'Aral è quasi scomparso - Focus.it Il Lago d'Aral è quasi scomparso - Focus.it. Il più evidente è proprio quello del Lago d’Aral, che era il secondo specchio d’acqua dell’Asia Centrale (dopo il Caspio). Oggi sulle rive del lago ci sono barche e battelli arenati a chilometri dal bagnasciuga: anni fa erano usati per la pesca, oggi sono spettrali cimeli di un disastro ambientale. Il più evidente è proprio quello del Lago d’Aral, che era il secondo specchio d’acqua dell’Asia Centrale (dopo il Caspio). Oggi sulle rive del lago ci sono barche e battelli arenati a chilometri dal bagnasciuga: anni fa erano usati per la pesca, oggi sono spettrali cimeli di un disastro ambientale.",3,18.08,18.37,63.55,12.17,11.81,13.12,10.46,14.22,13.25,12.37,12.6
QuaÄº Ã¨ la causa della riduzione del lago aral,"SCHEDA IL LAGO D’ARAL UN GRANDE LAGO STA SCOMPARENDO. di Aral» di Viviano Domenici, Corriere della Se-ra, 30 e 31 luglio 1999). La superficie e il vo-lume del Lago d’Aral hanno subìto forti riduzioni, a causa del diminuito apporto da par-te dei suoi immissari, le ac-que dei quali sono state uti-lizzate per irrigare l’area de-sertica del Kyzyl Kum. I primi tre stralci di carte mostrano alcune",4,10.64,10.85,78.51,12.32,12.52,12.79,10.04,13.65,12.11,13.46,13.12
QuaÄº Ã¨ la causa della riduzione del lago aral,"Lago d'Aral - Approfondimenti - Geografia Online. La città uzbeka di Muynak, un tempo attivo centro costiero per la lavorazione del pesce, attualmente si trova a circa 50 km dalle rive del lago; la foto qui a fianco testimonia quella che un tempo era la riva del lago d'Aral a Muynak. Il clima della zona si è modificato a causa della sparizione delle acque che mitigavano l’aria torrida e si ...",5,12.83,13.81,73.36,12.22,12.09,13.68,9.49,13.37,12.07,13.68,13.39
QuaÄº Ã¨ la causa della riduzione del lago aral,"Lago Aral, lago d'aral, mar d'aral, il lago di Aral. aral .... La costruzione della diga è stata completata nel 2005. Essa è una parte di un progetto più grande che punta alla riqualificazione della parte kazaka del lago. I risultati del lavoro sono stati notevoli. Dal 2003 al 2008 la superficie del Piccolo Aral è passata da 2.550 km² a 3.300 km².",6,16.1,12.92,70.98,12.35,12.11,13.09,9.73,12.91,11.9,14.63,13.27
QuaÄº Ã¨ la causa della riduzione del lago aral,"Il Lago d'Aral [I]: storia di un colpevole degrado | Il .... Puoi leggerlo in 6 min. La crisi ecologica che ha colpito il bacino del Lago d’Aral, un ecosistema incredibilmente delicato e dai tratti peculiari, ha origini complesse e va analizzata sul piano storico-politico e legislativo, sia dal punto di vista regionale che da quello internazionale. Infatti ...",7,15.15,13.71,71.14,11.12,10.6,11.54,11.2,13.72,12.45,15.25,14.12
QuaÄº Ã¨ la causa della riduzione del lago aral,"Il disastro ecologico del Lago d'Aral: una storia .... Lago d’Aral: le prospettive di recupero. Purtroppo, senza interventi la totale scomparsa del lago d’Aral sarebbe ormai inevitabile. Le poche opere di bonifica sono iniziate solo nel 2000, con la messa in sicurezza della base militare sovietica che sorgeva su una delle isole.",8,14.06,15.34,70.6,11.11,10.43,12.92,10.36,13.59,13.12,14.45,14.04
QuaÄº Ã¨ la causa della riduzione del lago aral,"Il lago d’Aral è completamente prosciugato. Per la prima volta nella storia, almeno in quella moderna, il lago d’Aral è quasi completamente asciutto.Lo dimostrano le immagini satellitari della Nasa diffuse settimana scorsa e riprese dal satellite Terra, in cui si vede tutto il bacino est del lago, che si trova a cavallo tra Kazakistan e Uzbekistan, a secco.",9,13.86,12.43,73.71,13.14,12.06,14.78,9.55,12.93,12.0,12.43,13.09
QuaÄº Ã¨ la causa della riduzione del lago aral,"Aral nell'Enciclopedia Treccani - Treccani, il portale del .... (russo Aral o Aral′skoe more) Grande lago dell’Asia centro-occidentale, tra Uzbekistan e Kazakistan, a E del Mar Caspio, che fino alla metà del 20° sec. era per estensione il sesto della Terra (66.000 km2 nel 1950). Già assai rimpicciolito nel corso degli anni 1960, durante i due decenni successivi ha continuato a ridursi (41.000 km2 nel 1988) e ha finito con il frazionarsi in due laghi ...",10,14.02,12.75,73.23,12.31,12.26,12.66,10.26,12.88,12.68,14.17,12.77
cos e la biodiversitÃ ,"Che cos'è la biodiversità | WWF Italy. Che cos'è la biodiversità ... l’immensa varietà delle forme viventi che rende il nostro pianeta unico. Alcuni ambienti sono particolarmente ricchi di biodiversità: le barriere coralline, le foreste tropicali e gli estuari dei fiumi ospitano circa la metà degli essere viventi del Pianeta, anche se ricoprono solo il 6% della superficie ...",1,16.12,14.59,69.29,12.51,10.86,11.38,11.41,13.53,12.72,14.26,13.33
cos e la biodiversitÃ ,"Il pianeta vive, se vive la biodiversità - YouTube. Che cos'è la biodiversità, cosa c'entra con il nostro cibo quotidiano, cosa possiamo fare per preservarla. Che cos'è la biodiversità, cosa c'entra con il nostro cibo quotidiano, cosa possiamo ...",2,13.66,15.87,70.47,12.57,10.98,11.16,12.36,13.43,12.52,14.33,12.64
cos e la biodiversitÃ ,"Cosa è la biodiversità? E perché è così importante .... Biodiversità è la varietà degli esseri viventi che popolano la Terra, frutto di lunghi e complessi processi evolutivi. Comprende tutte le forme di vita differenti: A livello di geni (le unità ereditarie della cellula che determinano tutte le caratteristiche visibili degli esseri viventi, come il colore degli occhi dell’uomo o il colore del pelo dei […]",3,17.62,15.47,66.91,13.02,12.25,12.14,10.76,12.46,12.98,14.67,11.72
cos e la biodiversitÃ ,"Cos'è la biodiversità - Focus.it. Cos'è la biodiversità Usato a volte a sproposito, questo concetto è molto importante nell'ecologia moderna. E nasconde aspetti interessanti e profondi, più ampi della semplice diversità agricola.",4,29.12,17.16,53.71,12.26,10.26,10.05,13.42,13.68,13.24,15.23,11.85
cos e la biodiversitÃ ,"ecomondo: Perchè la biodiversità è importante. Cos'è la biodiversità Con il termine biodiversità si indicano tutte le forme viventi del pianeta, gli ecosistemi e la complessità delle interelazioni fra le specie. L'attuale livello di biodiversità è la conseguenza di un'evoluzione naturale che si è innescata miliardi di anni fa. Estensione del concetto di biodiversità",5,18.49,12.37,69.14,11.8,10.79,10.58,12.42,13.67,12.83,14.94,12.98
cos e la biodiversitÃ ,"Che cos'è la biodiversità? | Yahoo Answers. Best Answer: Per biodiversità si intende l'insieme di tutte le forme, animali o vegetali, geneticamente dissimili presenti sulla terra e degli ecosistemi ad essi correlati. Quindi biodiversità implica tutta la variabilità genetica e ecosistemica. Il termine biodiversità si è ormai consolidato e viene comunemente utilizzato nei diversi ambiti scientifici e culturali.",6,14.27,13.44,72.29,13.81,11.74,10.96,12.61,13.28,12.25,12.73,12.62
cos e la biodiversitÃ ,Biodiversità (2) - Skuola.net. A che cosa serve la biodiversità? La biodiversità fornisce molti beni indispensabili alla sopravvivenza umana. Pensiamo al cibo: usiamo per scopi alimentari circa 3000 specie vegetali e ne ...,7,18.48,10.92,70.59,12.89,11.29,10.47,12.78,14.28,11.94,14.23,12.12
cos e la biodiversitÃ ,"EDEN BIOGarden: Biodiversità: Che cos’è la biodiversità e .... Purtroppo le pratiche agricole e la gestione territoriale, spesso, riducono sempre più le aree naturali ,con la conseguente distruzione degli habitat portando inevitabilmente ad un considerevole calo di biodiversità. ... Biodiversità: Che cos’è la biodiversità e perché è così importante? Di definizioni sulla biodiversità se ne ...",8,16.96,14.08,68.96,11.89,9.98,11.05,12.5,14.47,12.62,13.94,13.55
cos e la biodiversitÃ ,"Biodiversità - Wikipedia. La diversità biologica o biodiversità in ecologia è la varietà di organismi viventi, nelle loro diverse forme, e nei rispettivi ecosistemi.Essa comprende l'intera variabilità biologica: di geni, specie, nicchie ecologiche ed ecosistemi. Le risorse genetiche sono considerate la componente determinante della biodiversità all'interno di una singola specie.",9,20.13,14.56,65.3,12.56,10.82,11.0,12.98,13.75,11.72,14.53,12.64
Cosa Ã¨ ocean cleanup? Ita,The Ocean Cleanup - YouTube. The Ocean Cleanup develops advanced technologies to rid the world's oceans of plastic. The world's first operational ocean cleanup system is set to be deployed this summer in the Great Pacific ...,1,11.49,9.43,79.08,13.31,13.39,14.16,10.14,12.38,11.03,11.82,13.78
Cosa Ã¨ ocean cleanup? Ita,"Boyan Slat - Wikipedia. The Ocean Cleanup. In 2013, Slat founded the non-profit entity The Ocean Cleanup, of which he is now the CEO. The group's mission is to develop advanced technologies to rid the world's oceans of plastic. It raised US$2.2 million through a crowd funding campaign with the help of 38,000 donors from 160 countries.",2,10.32,11.47,78.22,11.96,13.2,15.56,9.75,11.63,10.64,14.38,12.88
Cosa Ã¨ ocean cleanup? Ita,"Ocean Cleanup, parte progetto per pulire l’oceano dalla .... Il dispositivo galleggiante realizzato per raccogliere i rifiuti dall’Oceano finalmente funziona. Ad annunciarlo, attraverso un tweet, è stato lo stesso Boyan Slat, ovvero colui che l’ha ideato quando aveva solo 18 anni, e che ha fondato il progetto Ocean Cleanup, l’organizzazione senza scopro di lucro il cui obiettivo è appunto la pulizia degli oceani.",3,14.71,16.19,69.09,11.23,11.15,12.19,11.06,13.18,11.36,16.11,13.73
Cosa Ã¨ ocean cleanup? Ita,"Ocean cleanup device successively collects plastic waste .... Ocean cleanup device collects plastic waste from sea for first time in Pacific Ocean on October 2, creator of Ocean Cleanup Project Boyan Slat said on Twitter In a first, an ocean cleanup device designed by Dutch scientists to clean up an island of rubbish in the Pacific Ocean has reportedly helped ...",4,11.03,11.3,77.67,14.85,12.22,14.66,10.13,12.93,11.9,10.1,13.21
Cosa Ã¨ ocean cleanup? Ita,"North Atlantic garbage patch - Wikipedia. The North Atlantic garbage patch is an area of man-made marine debris found floating within the North Atlantic Gyre, originally documented in 1972. The patch is estimated to be hundreds of kilometers across in size, with a density of over 200,000 pieces of debris per square kilometer (one piece per five square metres, on average).",5,10.01,12.32,77.67,13.42,11.47,14.28,10.83,12.49,11.27,13.08,13.17
Cosa Ã¨ ocean cleanup? Ita,"Ocean Cleanup, parte progetto per pulire l’oceano dalla .... Il dispositivo galleggiante realizzato per raccogliere i rifiuti dall’Oceano finalmente funziona. Ad annunciarlo, attraverso un tweet, è stato lo stesso Boyan Slat, ovvero colui che l’ha ideato quando aveva solo 18 anni, e che ha fondato il progetto Ocean Cleanup, l’organizzazione senza scopro di lucro il cui obiettivo è appunto la pulizia degli oceani.",6,14.71,16.19,69.09,11.23,11.15,12.19,11.06,13.18,11.36,16.11,13.73
Cosa Ã¨ ocean cleanup? Ita,"Ocean Cleanup - il progetto per raccogliere la plastica .... A costruirlo una non-profit olandese che avrebbe cercato per prima cosa di ripulire per quanto possibile l'oceano pacifico. E finalmente in questi giorni il prototipo ha iniziato a funzionare. Ocean Clean-up ha cosi' catturato reti di pescatori, pezzi di plastica e microframmenti fino a un millimetro di diametro.",7,12.7,14.17,73.13,11.33,10.66,11.87,11.27,12.59,12.62,16.07,13.59
Cosa Ã¨ ocean cleanup? Ita,"Avast Cleanup Activation Code Torrent + Crack Free Download. Avast Cleanup 2019 Torrent + Crack full version Free Download. Avast Cleanup activation code Torrent is a utility software that is the actual need for every user. It does everything faster, and Avast Cleanup program makes your Windows pc more comfortable and efficient so that user will effect.",8,16.41,18.01,65.58,14.0,13.12,14.9,8.55,11.03,12.98,12.73,12.68
