QID,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
qEM23,21.21,15.2,63.59,11.32,13.86,14.01,9.82,12.66,10.79,16.36,11.19
qEM24,17.62,13.39,68.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEM25,9.92,7.51,82.58,13.84,13.75,18.21,8.19,13.24,10.17,12.69,9.9
qEM26,14.67,13.62,71.71,11.15,12.17,11.54,12.15,15.21,11.78,12.67,13.32
qEM27,9.59,9.41,81.0,13.19,14.42,13.29,9.66,12.2,11.54,14.88,10.8
qEM28,14.21,11.13,74.66,13.56,11.99,11.3,10.54,13.18,12.87,16.25,10.32
qEM29,14.21,11.13,74.66,13.56,11.99,11.3,10.54,13.18,12.87,16.25,10.32
qEM30,16.79,13.35,69.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEM31,17.79,11.66,70.55,12.04,8.99,10.01,11.57,14.61,13.45,19.09,10.23
qEM32,13.34,8.74,77.91,12.04,8.99,10.01,11.57,14.61,13.45,19.09,10.23
qEM33,15.68,12.17,72.14,9.25,8.71,9.59,9.45,14.01,16.71,18.42,13.86
qEM34,10.25,11.33,78.42,15.07,14.99,12.58,9.5,11.75,12.3,13.41,10.41
qEM35,14.21,11.13,74.66,13.56,11.99,11.3,10.54,13.18,12.87,16.25,10.32
qEM36,13.96,15.89,70.15,13.34,12.88,12.55,10.62,12.71,11.87,14.42,11.62
qEM37,12.54,14.74,72.71,12.7,12.31,11.98,10.57,12.71,10.95,15.93,12.84
qEM38,12.01,16.88,71.11,10.93,12.01,11.86,9.22,13.85,12.88,15.39,13.86
qEM39,6.28,5.78,87.95,13.54,13.33,15.47,7.79,11.81,11.72,13.66,12.67
qEM40,10.69,11.85,77.46,11.05,12.23,12.15,10.13,12.69,9.49,18.42,13.84
qEM41,26.32,21.9,51.78,12.87,10.67,12.77,6.79,9.77,14.46,15.89,16.79
qEM42,26.32,21.9,51.78,12.87,10.67,12.77,6.79,9.77,14.46,15.89,16.79
qEM43,15.8,15.39,68.81,10.97,11.25,12.32,7.95,11.51,11.01,18.27,16.73
qEM44,16.71,15.25,68.05,12.4,12.44,11.98,10.81,12.48,12.82,15.58,11.5
qEM45,15.11,15.09,69.8,12.65,13.49,11.93,11.66,14.16,12.1,12.76,11.25
qEM46,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEM47,7.75,8.58,83.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEM48,15.05,22.51,62.45,10.71,12.06,12.41,11.89,10.79,12.99,14.57,14.57
qEM49,16.16,36.9,46.95,13.4,8.88,12.46,11.31,12.37,11.34,12.83,17.41
qEM50,15.31,11.35,73.34,10.87,14.43,10.52,12.69,12.59,11.69,16.18,11.03
qEM51,9.0,12.66,78.33,10.93,12.01,11.86,9.22,13.85,12.88,15.39,13.86
qEM52,15.09,13.99,70.92,12.8,12.46,12.23,10.99,12.03,13.18,14.99,11.32
qEM53,4.73,5.47,89.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEM54,12.28,16.0,71.72,13.54,13.33,15.47,7.79,11.81,11.72,13.66,12.67
qEM55,9.0,12.66,78.33,10.93,12.01,11.86,9.22,13.85,12.88,15.39,13.86
qEM56,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEM57,5.59,5.78,88.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEM58,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEM59,13.43,18.93,67.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEM60,17.54,14.86,67.6,9.25,8.71,9.59,9.45,14.01,16.71,18.42,13.86
qEM61,7.75,8.58,83.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEM62,7.75,8.58,83.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEM63,4.73,5.47,89.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEM64,17.54,14.86,67.6,9.25,8.71,9.59,9.45,14.01,16.71,18.42,13.86
qEM65,7.75,8.58,83.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qEM66,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
